setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
anomaly_detection_mse_UCRA_028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-21-48,0.97786456,0.1,0.009009009,0.016528925,0.9983259,0.925,1.0,0.96103895
anomaly_detection_mse_UCRA_029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-22-22,0.9722222,0.03571428571428571,0.009803922,0.015384615,0.9941406,0.7906977,1.0,0.8831169
anomaly_detection_mse_UCRA_030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-22-59,0.94635415,0.005050505050505051,0.1,0.009615385,0.9486979,0.048309177,1.0,0.0921659
anomaly_detection_mse_UCRA_031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-23-38,0.96744794,1.0,0.0625,0.11764706,1.0,1.0,1.0,1.0
anomaly_detection_mse_UCRA_032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-24-14,0.9358724,0.05,0.005586592,0.010050251,0.9938151,0.9040404,1.0,0.9496021
anomaly_detection_mse_UCRA_033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-24-48,0.944987,1.0,0.005882353,0.0116959065,1.0,1.0,1.0,1.0
anomaly_detection_mse_UCRA_034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-25-27,0.94222003,0.00980392156862745,0.012903226,0.011142061,0.9671224,0.43417367,1.0,0.60546875
anomaly_detection_mse_UCRA_035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-26-02,0.96310765,0.015873015873015872,0.0091743115,0.011627907,0.98654515,0.6374269,1.0,0.7785714
anomaly_detection_mse_UCRA_036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-26-39,0.9720052,0.16666666666666666,0.0121951215,0.022727273,0.9983724,0.9425287,1.0,0.9704142
anomaly_detection_mse_UCRA_037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-27-17,0.8949382,0.001182033096926714,0.06,0.0023183925,0.8968506,0.01934236,1.0,0.037950665
anomaly_detection_mse_UCRA_038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-27-58,0.95548505,0.0009746588693957114,0.014285714,0.0018248175,0.95829266,0.06392694,1.0,0.12017167
anomaly_detection_mse_UCRA_039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-28-38,0.92366534,0.0005411255411255411,0.033333335,0.0010649627,0.9248454,0.015982952,1.0,0.03146303
anomaly_detection_mse_UCRA_040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-29-19,0.92578125,0.0006101281269066504,0.0076923077,0.0011305823,0.9311996,0.073529415,1.0,0.1369863
anomaly_detection_mse_UCRA_041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-30-02,0.9914242,0.015873015873015872,0.0076923077,0.010362694,0.9972162,0.6770833,1.0,0.8074534
